actor,events,cases,first_seen,last_seen
User_1,148404,23469,2016-01-01 09:51:15.304000,2017-01-31 07:00:14.195000
User_3,26342,6077,2016-01-02 12:24:39.241000,2017-01-31 08:01:01.611000
User_5,22900,5810,2016-01-04 15:03:14.536000,2017-01-23 19:32:23.484000
User_87,22498,4407,2016-01-06 10:24:33.423000,2017-02-01 07:34:47.858000
User_30,21272,3962,2016-01-06 07:08:44.746000,2017-02-01 09:43:14.747000
User_49,21134,3990,2016-01-06 08:04:13.606000,2017-01-31 13:57:19.059000
User_123,20909,3239,2016-05-31 08:45:27.254000,2017-01-31 12:10:02.367000
User_29,20860,3237,2016-01-08 14:51:33.041000,2017-01-30 11:56:17.609000
User_100,20651,3827,2016-01-08 12:24:29.817000,2017-02-01 14:11:03.499000
User_2,19134,4804,2016-01-04 08:51:28.458000,2017-01-26 11:32:46.991000
User_27,18806,3039,2016-01-07 08:04:24.042000,2016-11-24 15:50:28.300000
User_121,18726,3001,2016-04-01 09:16:57.733000,2017-01-20 14:11:48.237000
User_28,18412,3794,2016-01-04 08:23:58.152000,2017-01-25 18:33:29.322000
User_68,17581,2669,2016-01-07 13:17:02.426000,2017-01-31 16:45:23.602000
User_116,17423,2892,2016-01-08 08:53:00.988000,2016-08-31 14:41:17.908000
User_10,16365,2537,2016-01-04 13:13:04.002000,2017-02-01 11:23:42.537000
User_113,16151,2742,2016-01-08 07:26:01.448000,2017-01-05 14:58:48.648000
User_118,16005,2789,2016-01-11 08:45:40.956000,2017-01-23 12:32:41.320000
User_75,15955,2264,2016-01-04 07:01:40.321000,2017-01-31 16:47:05.113000
User_41,15481,3551,2016-01-11 09:12:40.072000,2017-01-26 14:01:51.155000
User_18,15432,3104,2016-01-08 16:16:29.027000,2017-01-24 08:53:24.320000
User_126,14534,2151,2016-06-21 07:48:38.052000,2017-02-01 08:11:29.936000
User_99,14339,2028,2016-01-11 09:22:20.633000,2017-02-01 09:58:44.001000
User_112,13949,2422,2016-01-07 13:32:04.347000,2017-02-01 09:16:09.891000
User_46,13325,2469,2016-03-07 07:55:07.590000,2017-01-13 19:59:36.883000
