activity,occurrences,mean_wait_hrs,median_wait_hrs,p90_wait_hrs,total_wait_days
W_Call after offers,181635,58.34,0.004,124.5,441518.0
W_Call incomplete files,163853,13.05,0.024,21.7,89084.0
W_Validate application,196834,7.79,0.0,20.7,63904.0
O_Sent (mail and online),39692,21.01,0.0,6.3,34754.0
W_Complete application,148756,4.55,0.001,4.2,28180.0
A_Concept,31509,15.39,1.369,44.6,20200.0
O_Sent (online only),2018,52.68,0.074,147.2,4430.0
O_Cancelled,16462,3.73,0.0,0.0,2558.0
W_Assess potential fraud,3180,9.25,0.02,23.8,1226.0
O_Created,42995,0.6,0.007,0.0,1080.0
W_Handle leads,47264,0.48,0.009,0.0,941.0
O_Returned,23304,0.81,0.047,0.2,783.0
A_Accepted,31509,0.46,0.051,0.1,604.0
W_Personal Loan collection,20,432.66,0.007,1363.9,361.0
A_Complete,31362,0.13,0.038,0.1,174.0
W_Shortened completion ,233,14.9,0.001,43.1,145.0
A_Validating,38816,0.03,0.007,0.1,53.0
A_Incomplete,23055,0.04,0.008,0.1,43.0
O_Create Offer,42995,0.0,0.0,0.0,1.0
O_Refused,4695,0.0,0.0,0.0,0.0
A_Cancelled,10431,0.0,0.0,0.0,0.0
A_Create Application,31509,0.0,0.0,0.0,0.0
A_Submitted,20423,0.0,0.0,0.0,0.0
A_Denied,3752,0.0,0.0,0.0,0.0
O_Accepted,17228,0.0,0.0,0.0,0.0
A_Pending,17228,0.0,0.0,0.0,0.0
