next_activity,occurrences,mean_wait_hrs,total_wait_days
W_Call after offers,191092,30.13,239929.0
A_Cancelled,10431,496.24,215677.0
W_Call incomplete files,168529,8.89,62435.0
W_Validate application,209496,5.93,51728.0
W_Complete application,148900,6.0,37243.0
O_Accepted,17228,47.88,34371.0
O_Create Offer,42995,15.32,27442.0
A_Accepted,31509,7.88,10345.0
A_Denied,3753,24.46,3824.0
O_Returned,23305,2.68,2601.0
W_Assess potential fraud,3282,8.87,1213.0
O_Cancelled,20898,1.17,1023.0
W_Handle leads,47264,0.48,941.0
W_Personal Loan collection,22,560.86,514.0
W_Shortened completion ,238,47.0,466.0
