month,applications,mean_days,median_days,pct_breaching
2016-01-01 00:00:00,2194,22.4,17.7,59.3
2016-02-01 00:00:00,2412,20.9,17.8,60.6
2016-03-01 00:00:00,2454,20.5,17.0,59.1
2016-04-01 00:00:00,2177,22.1,19.0,63.3
2016-05-01 00:00:00,2068,21.4,16.9,57.9
2016-06-01 00:00:00,3001,22.8,20.3,66.7
2016-07-01 00:00:00,3039,22.7,20.1,67.0
2016-08-01 00:00:00,3085,23.2,21.7,71.1
2016-09-01 00:00:00,3042,22.9,21.1,70.6
2016-10-01 00:00:00,2995,21.5,18.9,63.2
2016-11-01 00:00:00,2676,21.5,18.9,64.1
2016-12-01 00:00:00,2366,20.0,17.2,59.6
