day_of_week,hour_of_day,events,mean_wait_after
Friday,0,72,5.15
Friday,1,54,7.22
Friday,2,27,7.62
Friday,3,51,6.29
Friday,4,167,3.49
Friday,5,2191,2.81
Friday,6,8559,26.96
Friday,7,15702,11.75
Friday,8,21557,16.6
Friday,9,22968,18.15
Friday,10,18932,17.25
Friday,11,17008,15.16
Friday,12,18490,13.48
Friday,13,19381,15.43
Friday,14,16760,17.56
Friday,15,9915,15.83
Friday,16,6155,17.41
Friday,17,5664,16.45
Friday,18,6842,14.66
Friday,19,3790,10.78
Friday,20,921,7.14
Friday,21,516,6.77
Friday,22,630,11.26
Friday,23,432,9.81
Monday,0,89,3.91
Monday,1,48,2.41
Monday,2,27,2.36
Monday,3,39,2.94
Monday,4,48,4.14
Monday,5,1706,1.48
Monday,6,8760,18.81
Monday,7,18767,10.93
Monday,8,25959,17.48
Monday,9,25712,15.68
Monday,10,22354,15.7
Monday,11,19708,13.5
Monday,12,21296,15.31
Monday,13,22483,16.46
Monday,14,19793,15.81
Monday,15,13171,15.41
Monday,16,9228,18.02
Monday,17,10632,24.93
Monday,18,11981,24.41
Monday,19,6361,14.84
Monday,20,1570,5.38
Monday,21,1165,3.15
Monday,22,887,6.91
Monday,23,463,8.95
Saturday,0,99,5.59
Saturday,1,30,4.27
Saturday,2,60,13.37
Saturday,3,33,5.49
Saturday,4,31,2.72
Saturday,5,82,5.19
Saturday,6,3431,49.05
Saturday,7,1587,2.43
Saturday,8,5644,28.06
Saturday,9,11044,36.62
Saturday,10,10807,30.03
Saturday,11,8673,24.96
Saturday,12,7797,25.37
Saturday,13,9454,31.87
Saturday,14,9471,21.63
Saturday,15,4992,24.01
Saturday,16,987,10.2
Saturday,17,796,9.0
Saturday,18,1015,8.71
Saturday,19,696,8.67
Saturday,20,568,8.98
Saturday,21,368,7.95
Saturday,22,403,9.88
Saturday,23,238,10.42
Sunday,0,81,8.13
Sunday,1,66,7.44
Sunday,2,27,9.36
Sunday,3,33,6.99
Sunday,4,30,6.05
Sunday,5,150,9.65
Sunday,6,3151,51.68
Sunday,7,1517,1.66
Sunday,8,619,5.67
Sunday,9,881,5.65
Sunday,10,1209,6.68
Sunday,11,1266,7.06
Sunday,12,1157,7.5
Sunday,13,1286,7.37
Sunday,14,1334,6.56
Sunday,15,826,5.22
Sunday,16,673,4.73
Sunday,17,744,5.23
Sunday,18,1014,5.03
Sunday,19,1124,4.65
Sunday,20,1020,4.58
Sunday,21,606,4.22
Sunday,22,291,3.76
Sunday,23,117,4.54
Thursday,0,66,5.37
Thursday,1,30,1.92
Thursday,2,58,14.88
Thursday,3,77,6.2
Thursday,4,249,1.82
Thursday,5,3138,2.15
Thursday,6,7328,2.78
Thursday,7,15614,6.2
Thursday,8,20390,7.69
Thursday,9,20980,7.88
Thursday,10,18290,8.47
Thursday,11,16221,7.8
Thursday,12,18829,8.5
Thursday,13,18267,9.18
Thursday,14,15814,10.6
Thursday,15,10359,9.25
Thursday,16,6261,9.36
Thursday,17,6645,10.54
Thursday,18,7579,10.28
Thursday,19,4564,8.97
Thursday,20,1369,6.3
Thursday,21,806,5.35
Thursday,22,766,7.66
Thursday,23,405,9.39
Tuesday,0,96,3.86
Tuesday,1,54,3.47
Tuesday,2,54,3.26
Tuesday,3,60,6.61
Tuesday,4,342,2.94
Tuesday,5,2399,2.54
Tuesday,6,7851,48.3
Tuesday,7,17965,26.17
Tuesday,8,23633,15.36
Tuesday,9,24482,12.27
Tuesday,10,20777,10.46
Tuesday,11,17530,11.24
Tuesday,12,19234,10.78
Tuesday,13,19911,9.43
Tuesday,14,18430,10.14
Tuesday,15,12559,8.63
Tuesday,16,8433,10.89
Tuesday,17,8396,14.12
Tuesday,18,10013,15.81
Tuesday,19,5472,8.19
Tuesday,20,1592,6.05
Tuesday,21,818,4.02
Tuesday,22,745,7.17
Tuesday,23,413,7.82
Wednesday,0,66,4.65
Wednesday,1,57,3.74
Wednesday,2,61,2.77
Wednesday,3,42,2.0
Wednesday,4,97,2.8
Wednesday,5,1921,3.67
Wednesday,6,6639,26.06
Wednesday,7,17228,17.17
Wednesday,8,22713,13.2
Wednesday,9,24401,10.88
Wednesday,10,21732,9.44
Wednesday,11,18416,9.92
Wednesday,12,19995,9.1
Wednesday,13,21758,9.17
Wednesday,14,19371,9.98
Wednesday,15,12405,10.05
Wednesday,16,7231,11.26
Wednesday,17,6996,11.96
Wednesday,18,8939,10.77
Wednesday,19,5190,9.76
Wednesday,20,1513,5.44
Wednesday,21,744,4.49
Wednesday,22,811,8.99
Wednesday,23,509,7.6
